code,area,title,path,ok,detail
finance_bank_account_document_tab_no_raw_inner_close_in_close_handler,finance,alrajhi_client/features/finance/documents/bank_account_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/finance/documents/bank_account_document_tab.py,True,
branches_branch_document_tab_uses_workspace_close,branches,alrajhi_client/features/branches/documents/branch_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/branches/documents/branch_document_tab.py,True,
branches_branch_document_tab_no_raw_inner_close_in_close_handler,branches,alrajhi_client/features/branches/documents/branch_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/branches/documents/branch_document_tab.py,True,
users_user_document_tab_uses_workspace_close,users,alrajhi_client/features/users/documents/user_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/users/documents/user_document_tab.py,True,
users_user_document_tab_no_raw_inner_close_in_close_handler,users,alrajhi_client/features/users/documents/user_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/users/documents/user_document_tab.py,True,
manufacturing_bom_document_tab_uses_workspace_close,manufacturing,alrajhi_client/features/manufacturing/bom_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/manufacturing/bom_document_tab.py,True,
manufacturing_bom_document_tab_no_raw_inner_close_in_close_handler,manufacturing,alrajhi_client/features/manufacturing/bom_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/manufacturing/bom_document_tab.py,True,
manufacturing_production_order_document_tab_uses_workspace_close,manufacturing,alrajhi_client/features/manufacturing/production_order_document_tab.py routes internal close through request_workspace_close,alrajhi_client/features/manufacturing/production_order_document_tab.py,True,
manufacturing_production_order_document_tab_no_raw_inner_close_in_close_handler,manufacturing,alrajhi_client/features/manufacturing/production_order_document_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/manufacturing/production_order_document_tab.py,True,
manufacturing_production_order_lifecycle_tab_uses_workspace_close,manufacturing,alrajhi_client/features/manufacturing/production_order_lifecycle_tab.py routes internal close through request_workspace_close,alrajhi_client/features/manufacturing/production_order_lifecycle_tab.py,True,
manufacturing_production_order_lifecycle_tab_no_raw_inner_close_in_close_handler,manufacturing,alrajhi_client/features/manufacturing/production_order_lifecycle_tab.py close handler does not raw-close or remove inner widgets,alrajhi_client/features/manufacturing/production_order_lifecycle_tab.py,True,
function_key_registered_transactions,registry,Function close key registered: transactions,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_returns,registry,Function close key registered: returns,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_materials,registry,Function close key registered: materials,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_inventory,registry,Function close key registered: inventory,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_finance,registry,Function close key registered: finance,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_branches,registry,Function close key registered: branches,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_users,registry,Function close key registered: users,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_manufacturing,registry,Function close key registered: manufacturing,alrajhi_client/workspace/shell/functional_close_policy.py,True,
function_key_registered_dialog_documents,registry,Function close key registered: dialog_documents,alrajhi_client/workspace/shell/functional_close_policy.py,True,
phase351_release_registered,release,Phase 351 is registered in release gate phases,alrajhi_client/workspace/quality/release_gate_contract.py,True,
