gateway,has_local,has_remote,abstract_methods,missing_local,missing_remote,accepted_local_only,status
rbac_gateway.py,True,True,"allowed_branch_ids,assign_roles,legacy_role,list_permissions,list_roles,role_parent_map,role_permissions,set_role_permissions,set_user_branches,user_direct_permissions,user_roles",,,False,OK
reporting_gateway.py,True,True,"balance_sheet,customer_aging,customer_balances,customer_statement,full_trial_balance_report,general_ledger_report,income_statement,invoice_profit_report,is_remote,item_movement_report,manufacturing_orders_report,net_profit_report,product_cost_report,smart_items_report,summary,supplier_aging,supplier_balances,supplier_statement,trial_balance",,,False,OK
restaurant_gateway.py,True,True,"add_order_line,add_order_line_modifier,assign_menu_item_station,assign_station_printer,assign_waiter,cafe_shift_report,call_waiter,cancel_reservation,checkout_session,checkout_simple_pos_session,close_session,consume_session_recipes,create_cafe_quick_order,create_delivery_order,create_split_bills,create_takeaway_order,get_kitchen_ticket,get_recipe_by_item,get_session,list_kitchen_stations,list_kitchen_tickets,list_line_modifiers,list_menu_categories,list_menu_items,list_modifier_groups,list_printers,list_restaurant_orders,list_split_bills,list_tables,mark_payment_pending,mark_print_job_done,mark_session_lines_served,merge_sessions,open_table,pay_split_bill,queue_ticket_print,record_payment,reserve_table,resolve_waiter_call,restaurant_analytics,restaurant_production_readiness,restaurant_shift_report,send_to_kitchen,session_balance,set_session_adjustments,split_lines_to_table,transfer_session,update_delivery_status,update_kitchen_ticket_status,update_line_status,update_order_line,upsert_kitchen_station,upsert_modifier_group,upsert_modifier_option,upsert_printer,upsert_recipe,upsert_table,waiter_session_summary",,,False,OK
sales_return_gateway.py,True,True,"create_return,delete_return,get,invoice_returnable_lines,is_remote,list_returns,next_return_no,returned_qty,sale_invoices,update_return",,,False,OK
settings_gateway.py,True,True,"clear_cache,get,get_currency_settings,get_language,get_theme,is_remote,set",,,False,OK
system_gateway.py,True,False,"backup_server_database,configure_server_database_path,data_source_label,debug_status,default_port,denied_security_events_count,ensure_local_database,ensure_server_database,get_server_port,get_server_runtime_info,health_check,integrity_checks,is_remote,local_diagnostics_snapshot,log_security_event,logout_remote,mode,normalize_server_url,open_server_data_dir,port_in_use,record_validation_run,request_log,reset_runtime_connection,restart_server_process,run_health_checks,run_stress_smoke,security_events,server_diagnostics,server_status,server_url,set_mode,start_server_process,stop_server_process,validate_backup_restore",,"backup_server_database,configure_server_database_path,data_source_label,debug_status,default_port,denied_security_events_count,ensure_local_database,ensure_server_database,get_server_port,get_server_runtime_info,health_check,integrity_checks,is_remote,local_diagnostics_snapshot,log_security_event,logout_remote,mode,normalize_server_url,open_server_data_dir,port_in_use,record_validation_run,request_log,reset_runtime_connection,restart_server_process,run_health_checks,run_stress_smoke,security_events,server_diagnostics,server_status,server_url,set_mode,start_server_process,stop_server_process,validate_backup_restore",True,OK
user_gateway.py,True,True,"authenticate,change_password,create_user,delete_user,get_user,is_remote,list_users,update_user",,,False,OK
voucher_gateway.py,True,True,"create,delete,get,is_remote,list,update",,,False,OK
warehouse_gateway.py,True,True,"archive,available_qty,balance_count,balances,bootstrap,cancel_transfer,create,create_transfer,default_warehouse,default_warehouse_id,get,is_remote,list,movements,record_movement,reverse_reference,transfers,update",,,False,OK
workflow_gateway.py,True,False,"diagnostics,ensure_schema,transition_invoice",,"diagnostics,ensure_schema,transition_invoice",True,OK
