key,category,description,status,detail,phase
required_self.username_combo.setObjectName('loginUser,login_source,LoginDialog contains safe pre-Phase352 RTL marker: self.username_combo.setObjectName('loginUsernameField'),pass,self.username_combo.setObjectName('loginUsernameField'),366
required_self.password_edit.setObjectName('loginPassw,login_source,LoginDialog contains safe pre-Phase352 RTL marker: self.password_edit.setObjectName('loginPasswordField'),pass,self.password_edit.setObjectName('loginPasswordField'),366
required_self.show_pwd_btn.setObjectName('loginPasswo,login_source,LoginDialog contains safe pre-Phase352 RTL marker: self.show_pwd_btn.setObjectName('loginPasswordToggleButton'),pass,self.show_pwd_btn.setObjectName('loginPasswordToggleButton'),366
required_layout.addSpacing(18),login_source,LoginDialog contains safe pre-Phase352 RTL marker: layout.addSpacing(18),pass,layout.addSpacing(18),366
required_options_layout = QHBoxLayout(),login_source,LoginDialog contains safe pre-Phase352 RTL marker: options_layout = QHBoxLayout(),pass,options_layout = QHBoxLayout(),366
required_options_layout.setObjectName('loginRememberL,login_source,LoginDialog contains safe pre-Phase352 RTL marker: options_layout.setObjectName('loginRememberLanguageRow'),pass,options_layout.setObjectName('loginRememberLanguageRow'),366
required_self.lang_combo.setObjectName('loginLanguage,login_source,LoginDialog contains safe pre-Phase352 RTL marker: self.lang_combo.setObjectName('loginLanguageField'),pass,self.lang_combo.setObjectName('loginLanguageField'),366
required_def _apply_directional_alignment(self):,login_source,LoginDialog contains safe pre-Phase352 RTL marker: def _apply_directional_alignment(self):,pass,def _apply_directional_alignment(self):,366
required_self._apply_directional_alignment(),login_source,LoginDialog contains safe pre-Phase352 RTL marker: self._apply_directional_alignment(),pass,self._apply_directional_alignment(),366
forbidden_from ui.first_run_branding import,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: from ui.first_run_branding import,pass,from ui.first_run_branding import,366
forbidden_brand_side_panel(,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: brand_side_panel(,pass,brand_side_panel(,366
forbidden_first_run_form_panel(,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: first_run_form_panel(,pass,first_run_form_panel(,366
forbidden_root_layout = QHBoxLayout(self.content_widge,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: root_layout = QHBoxLayout(self.content_widget),pass,root_layout = QHBoxLayout(self.content_widget),366
forbidden_firstRunBrandPanel,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: firstRunBrandPanel,pass,firstRunBrandPanel,366
forbidden_firstRunFormPanel,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: firstRunFormPanel,pass,firstRunFormPanel,366
forbidden_loginCredentialsPanel,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: loginCredentialsPanel,pass,loginCredentialsPanel,366
forbidden_loginOptionsPanel,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: loginOptionsPanel,pass,loginOptionsPanel,366
forbidden_loginPasswordRow,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: loginPasswordRow,pass,loginPasswordRow,366
forbidden_loginPasswordSafeSpacer,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: loginPasswordSafeSpacer,pass,loginPasswordSafeSpacer,366
forbidden_setFixedHeight(int(BRAND.get('login_credenti,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: setFixedHeight(int(BRAND.get('login_credentials_min_height',pass,setFixedHeight(int(BRAND.get('login_credentials_min_height',366
forbidden_setFixedHeight(int(BRAND.get('login_options_,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: setFixedHeight(int(BRAND.get('login_options_min_height',pass,setFixedHeight(int(BRAND.get('login_options_min_height',366
forbidden_loginOverlapPolicy,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: loginOverlapPolicy,pass,loginOverlapPolicy,366
forbidden_loginSpacingPolicy,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: loginSpacingPolicy,pass,loginSpacingPolicy,366
forbidden_loginDensity,overlap_root_cause_removed,LoginDialog avoids overlap-prone split/fixed-panel marker: loginDensity,pass,loginDensity,366
password_before_options_real_layout_gap,layout_order,Password row is before remember/language row with a real Qt layout spacer,pass,"[3743, 4163, 4239, 5418, 5612, 5643, 6848, 7164, 7392, 7714]",366
"qss_QFrame#loginCard[loginLayoutPolicy=""pre352_r",qss_source,"Global QSS contains safe pre-Phase352 login selector: QFrame#loginCard[loginLayoutPolicy=""pre352_rtl_ordered_no_overlay""]",pass,"QFrame#loginCard[loginLayoutPolicy=""pre352_rtl_ordered_no_overlay""]",366
qss_QComboBox#loginUsernameField,qss_source,Global QSS contains safe pre-Phase352 login selector: QComboBox#loginUsernameField,pass,QComboBox#loginUsernameField,366
qss_QLineEdit#loginPasswordField,qss_source,Global QSS contains safe pre-Phase352 login selector: QLineEdit#loginPasswordField,pass,QLineEdit#loginPasswordField,366
qss_QPushButton#loginPasswordToggleButton,qss_source,Global QSS contains safe pre-Phase352 login selector: QPushButton#loginPasswordToggleButton,pass,QPushButton#loginPasswordToggleButton,366
qss_runtime_light,qss_runtime,Generated light QSS includes Phase366 login selectors,pass,61175,366
qss_runtime_dark,qss_runtime,Generated dark QSS includes Phase366 login selectors,pass,61815,366
